Item,Year,Value (tons),,,,,,,,,
Cereals,2000,310265.56,,,,Row Labels,Sum of Value (tons),Norway Population,Per Capita Imports,Area_population,Area_Imports (Tons)
Pulses,2003,6506,,,,,,,,,
Pulses,2004,31870,,,,,,,,,
Pulses,2005,57879,,,,,,,,,
Pulses,2006,38383,,,,,,,,,
Pulses,2007,64113,,,,,,,,,
Pulses,2008,94608,,,,,,,,,
Pulses,2009,66277,,,,,,,,,
Pulses,2010,114569,,,,,,,,,
Pulses,2011,111560,,,,,,,,,
Pulses,2012,69063,,,,,,,,,
Pulses,2013,81676,,,,,,,,,
Pulses,2014,98049.91,,,,,,,,,
Pulses,2015,102476.95,,,,,,,,,
Pulses,2016,140053.62,,,,,,,,,
Pulses,2017,172939.16,,,,,,,,,
Pulses,2018,247442.44,,,,,,,,,
Pulses,2019,178622.97,,,,,,,,,
Pulses,2020,233946.19,,,,,,,,,
Roots and Tubers,2000,50064.95,,,,,,,,,
Roots and Tubers,2001,58611,,,,,,,,,
Roots and Tubers,2002,40747,,,,,,,,,
Roots and Tubers,2003,47881,,,,,,,,,
Roots and Tubers,2004,36794,,,,,,,,,
Roots and Tubers,2005,30770,,,,,,,,,
Roots and Tubers,2006,56309,,,,,,,,,
Roots and Tubers,2007,55491,,,,,,,,,
Roots and Tubers,2008,63959,,,,,,,,,
Roots and Tubers,2009,31128,,,,,,,,,
Roots and Tubers,2010,53537,,,,,,,,,
Roots and Tubers,2011,47032,,,,,,,,,
Roots and Tubers,2012,78934,,,,,,,,,
Roots and Tubers,2013,67245,,,,,,,,,
Roots and Tubers,2014,63267.29,,,,,,,,,
Roots and Tubers,2015,56128.37,,,,,,,,,
Roots and Tubers,2016,67804.49,,,,,,,,,
Roots and Tubers,2017,52231.21,,,,,,,,,
Roots and Tubers,2018,67621.26,,,,,,,,,
Roots and Tubers,2019,45742.45,,,,,,,,,
Roots and Tubers,2020,67044.61,,,,,,,,,
Cassava Equivalent,2000,7599.27,,,,,,,,,
Cassava Equivalent,2001,8927.5,,,,,,,,,
Cassava Equivalent,2002,8097.5,,,,,,,,,
Cassava Equivalent,2003,8170,,,,,,,,,
Cassava Equivalent,2004,9455,,,,,,,,,
Cassava Equivalent,2005,9412.5,,,,,,,,,
Cassava Equivalent,2006,10822.5,,,,,,,,,
Cassava Equivalent,2007,11507.5,,,,,,,,,
Cassava Equivalent,2008,12325,,,,,,,,,
Cassava Equivalent,2009,11062.5,,,,,,,,,
Cassava Equivalent,2010,15042.5,,,,,,,,,
Cassava Equivalent,2011,16785,,,,,,,,,
Cassava Equivalent,2012,15252.5,,,,,,,,,
Cassava Equivalent,2013,12747.5,,,,,,,,,
Cassava Equivalent,2014,13110.59,,,,,,,,,
Cassava Equivalent,2015,11184.43,,,,,,,,,
Cassava Equivalent,2016,9760.57,,,,,,,,,
Cassava Equivalent,2017,9810.87,,,,,,,,,
Cassava Equivalent,2018,9376.79,,,,,,,,,
Cassava Equivalent,2019,9821.64,,,,,,,,,
Cassava Equivalent,2020,9613.04,,,,,,,,,
Groundnuts Total Shelled,2000,3532.85,,,,,,,,,
Groundnuts Total Shelled,2001,3824,,,,,,,,,
Groundnuts Total Shelled,2002,4312,,,,,,,,,
Groundnuts Total Shelled,2003,5470,,,,,,,,,
Groundnuts Total Shelled,2004,5962,,,,,,,,,
Groundnuts Total Shelled,2005,6537,,,,,,,,,
Groundnuts Total Shelled,2006,7139,,,,,,,,,
Groundnuts Total Shelled,2007,7677,,,,,,,,,
Groundnuts Total Shelled,2008,8070,,,,,,,,,
Groundnuts Total Shelled,2009,7629,,,,,,,,,
Groundnuts Total Shelled,2010,6960,,,,,,,,,
Groundnuts Total Shelled,2011,6772,,,,,,,,,
Groundnuts Total Shelled,2012,6896,,,,,,,,,
Groundnuts Total Shelled,2013,7602,,,,,,,,,
Groundnuts Total Shelled,2014,7540.16,,,,,,,,,
Groundnuts Total Shelled,2015,8357.95,,,,,,,,,
Groundnuts Total Shelled,2016,8105.49,,,,,,,,,
Groundnuts Total Shelled,2017,7074.09,,,,,,,,,
Groundnuts Total Shelled,2018,7032.04,,,,,,,,,
Groundnuts Total Shelled,2019,7068.79,,,,,,,,,
Groundnuts Total Shelled,2020,8049.56,,,,,,,,,
Nuts,2000,12283.38,,,,,,,,,
Nuts,2001,12694,,,,,,,,,
Nuts,2002,12677,,,,,,,,,
Nuts,2003,14311,,,,,,,,,
Nuts,2004,16029,,,,,,,,,
Nuts,2005,17201,,,,,,,,,
Nuts,2006,17867,,,,,,,,,
Nuts,2007,19454,,,,,,,,,
Nuts,2008,20091,,,,,,,,,
Nuts,2009,19711,,,,,,,,,
Nuts,2010,20020,,,,,,,,,
Nuts,2011,19638,,,,,,,,,
Nuts,2012,18939,,,,,,,,,
Nuts,2013,19330,,,,,,,,,
Nuts,2014,19745.38,,,,,,,,,
Nuts,2015,21016.24,,,,,,,,,
Nuts,2016,20221.26,,,,,,,,,
Nuts,2017,19266.58,,,,,,,,,
Nuts,2018,20554.97,,,,,,,,,
Nuts,2019,20314.06,,,,,,,,,
Nuts,2020,21766.15,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2000,1927.34,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2001,1930.4,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2002,1649.2,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2003,798,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2004,2128,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2005,1877.2,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2006,349.6,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2007,402.8,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2008,83.6,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2009,68.4,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2010,53.2,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2011,228,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2012,212.8,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2013,114,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2014,137.91,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2015,548.69,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2016,661.75,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2017,706.74,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2018,558.89,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2019,501.87,,,,,,,,,
"Whey, fresh and dry (milk equivalent)",2020,377.52,,,,,,,,,
Sugar Crops Primary,2000,152.54,,,,,,,,,
Sugar Crops Primary,2001,154,,,,,,,,,
Sugar Crops Primary,2002,131,,,,,,,,,
Sugar Crops Primary,2003,122,,,,,,,,,
Sugar Crops Primary,2004,88,,,,,,,,,
Sugar Crops Primary,2005,53,,,,,,,,,
Sugar Crops Primary,2006,45,,,,,,,,,
Sugar Crops Primary,2007,112,,,,,,,,,
Sugar Crops Primary,2008,32,,,,,,,,,
Sugar Crops Primary,2009,23,,,,,,,,,
Sugar Crops Primary,2010,24,,,,,,,,,
Sugar Crops Primary,2011,19,,,,,,,,,
Sugar Crops Primary,2012,25,,,,,,,,,
Sugar Crops Primary,2013,13,,,,,,,,,
Sugar Crops Primary,2014,20.03,,,,,,,,,
Sugar Crops Primary,2015,16.43,,,,,,,,,
Sugar Crops Primary,2016,5.3,,,,,,,,,
Sugar Crops Primary,2017,5.29,,,,,,,,,
Sugar Crops Primary,2018,5.2,,,,,,,,,
Sugar Crops Primary,2019,3.04,,,,,,,,,
Sugar Crops Primary,2020,5.26,,,,,,,,,
Dairy Products,2000,4098.18,,,,,,,,,
Dairy Products,2001,3925,,,,,,,,,
Dairy Products,2002,5249,,,,,,,,,
Dairy Products,2003,5961,,,,,,,,,
Dairy Products,2004,7649,,,,,,,,,
Dairy Products,2005,9665,,,,,,,,,
Dairy Products,2006,10039,,,,,,,,,
Dairy Products,2007,10813,,,,,,,,,
Dairy Products,2008,10632,,,,,,,,,
Dairy Products,2009,10834,,,,,,,,,
Dairy Products,2010,15550,,,,,,,,,
Dairy Products,2011,20080,,,,,,,,,
Dairy Products,2012,19698,,,,,,,,,
Dairy Products,2013,19868,,,,,,,,,
Dairy Products,2014,21761.9,,,,,,,,,
Dairy Products,2015,23115.93,,,,,,,,,
Dairy Products,2016,23369.23,,,,,,,,,
Dairy Products,2017,23254.46,,,,,,,,,
Dairy Products,2018,24354.18,,,,,,,,,
Dairy Products,2019,24598.02,,,,,,,,,
Dairy Products,2020,27175.47,,,,,,,,,
Eggs,2000,435.85,,,,,,,,,
Eggs,2001,637,,,,,,,,,
Eggs,2002,639,,,,,,,,,
Eggs,2003,543,,,,,,,,,
Eggs,2004,193,,,,,,,,,
Eggs,2005,827,,,,,,,,,
Eggs,2006,2319,,,,,,,,,
Eggs,2007,2635,,,,,,,,,
Eggs,2008,1642,,,,,,,,,
Eggs,2009,634,,,,,,,,,
Eggs,2010,259,,,,,,,,,
Eggs,2011,1719,,,,,,,,,
Eggs,2012,1456,,,,,,,,,
Eggs,2013,477,,,,,,,,,
Eggs,2014,547.35,,,,,,,,,
Eggs,2015,394.15,,,,,,,,,
Eggs,2016,905.07,,,,,,,,,
Eggs,2017,661.5,,,,,,,,,
Eggs,2018,553.74,,,,,,,,,
Eggs,2019,827.69,,,,,,,,,
Eggs,2020,619.75,,,,,,,,,
Beverages,2000,93371.89,,,,,,,,,
Beverages,2001,112842,,,,,,,,,
Beverages,2002,129133,,,,,,,,,
Beverages,2003,155605,,,,,,,,,
Beverages,2004,159418,,,,,,,,,
Beverages,2005,169952,,,,,,,,,
Beverages,2006,168479,,,,,,,,,
Beverages,2007,170285,,,,,,,,,
Beverages,2008,179336,,,,,,,,,
Beverages,2009,170865,,,,,,,,,
Beverages,2010,182331,,,,,,,,,
Beverages,2011,205278,,,,,,,,,
Beverages,2012,218562,,,,,,,,,
Beverages,2013,237635,,,,,,,,,
Beverages,2014,236355.3,,,,,,,,,
Beverages,2015,234365.5,,,,,,,,,
Beverages,2016,249778.46,,,,,,,,,
Beverages,2017,277843.46,,,,,,,,,
Beverages,2018,285259.2,,,,,,,,,
Beverages,2019,297030.06,,,,,,,,,
Beverages,2020,372642.61,,,,,,,,,
Other food,2000,1626,,,,,,,,,
Other food,2000,152,,,,,,,,,
Other food,2000,525884.48,,,,,,,,,
Other food,2001,1373,,,,,,,,,
Other food,2001,89,,,,,,,,,
Other food,2001,511439,,,,,,,,,
Other food,2002,1453,,,,,,,,,
Other food,2002,66,,,,,,,,,
Other food,2002,528947,,,,,,,,,
Other food,2003,1494,,,,,,,,,
Other food,2003,73,,,,,,,,,
Other food,2003,592167,,,,,,,,,
Other food,2004,1931,,,,,,,,,
Other food,2004,176,,,,,,,,,
Other food,2004,523892,,,,,,,,,
Other food,2005,2030,,,,,,,,,
Other food,2005,139,,,,,,,,,
Other food,2005,555147,,,,,,,,,
Other food,2006,2026,,,,,,,,,
Other food,2006,105,,,,,,,,,
Other food,2006,603039,,,,,,,,,
Other food,2007,2112,,,,,,,,,
Other food,2007,159,,,,,,,,,
Other food,2007,678558,,,,,,,,,
Other food,2008,2141,,,,,,,,,
Other food,2008,112,,,,,,,,,
Other food,2008,683722,,,,,,,,,
Other food,2009,1914,,,,,,,,,
Other food,2009,30,,,,,,,,,
Other food,2009,719155,,,,,,,,,
Other food,2010,1606,,,,,,,,,
Other food,2010,23,,,,,,,,,
Other food,2010,854160,,,,,,,,,
Other food,2011,1558,,,,,,,,,
Other food,2011,49,,,,,,,,,
Other food,2011,905647,,,,,,,,,
Other food,2012,1631,,,,,,,,,
